URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://xp.apple.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,xp.apple.com/17.139.246.6,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:39:48,,,,,6,25,77,,,,,,,,,,,,,,
https://xp.apple.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,xp.apple.com/17.139.246.6,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:39:48,,,,,3,51,407,,,,,,,,,,,,,,
https://xp.apple.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,xp.apple.com/17.139.246.6,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:39:50,,,,,3,24,72,,,,,,,,,,,,,,
https://p21-buy.itunes.apple.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,p21-buy.itunes.apple.com/17.154.66.74,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:39:52,,,,,33,34,110,,,,,,,,,,,,,,
https://settings.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,settings.crashlytics.com/54.227.238.44,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:39:52,,,,,33,90,319,,,,,,,,,,,,,,
https://api.appcloudbox.net,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,api.appcloudbox.net/107.23.10.74,443,,02 Jun 2018 19:39:52,,,02 Jun 2018 19:39:55,2885,35,85,,,,,2.1875,,,,179,987,,0,5299,,
https://ge.appcloudbox.net,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,ge.appcloudbox.net/52.84.237.109,443,,02 Jun 2018 19:39:52,,,02 Jun 2018 19:39:55,2912,35,30,,,,,14.894531,,,,177,1561,,0,42678,,
https://cdn.appcloudbox.net,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,cdn.appcloudbox.net/52.84.237.201,443,,02 Jun 2018 19:39:52,,,02 Jun 2018 19:39:54,2090,1015,17,,,,,3.3691406,,,,179,688,,0,6344,,
https://cdn.appcloudbox.net,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,cdn.appcloudbox.net/52.84.237.201,443,,02 Jun 2018 19:39:52,,,02 Jun 2018 19:39:54,2103,1013,17,,,,,3.5419922,,,,179,689,,0,6760,,
http://geoip.asiatone.net/ip2location/mylocation/,COMPLETE,200,http,GET,text/html; charset=utf-8,198.18.72.253/198.18.72.253,0,geoip.asiatone.net/52.84.237.246,80,,02 Jun 2018 19:39:52,02 Jun 2018 19:39:52,02 Jun 2018 19:39:52,02 Jun 2018 19:39:52,311,35,24,,2,55,195,2.9453125,131.34766,11.87793,,269,,,369,300,,
