URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
17.125.252.5:443,RECEIVED_RESPONSE_BODY,0,,,,,0,17.125.252.5/17.125.252.5,443,,02 Jun 2018 19:28:26,,,,65540273,,19,,,,,0.0,,,,,,,,,,
https://settings.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,settings.crashlytics.com/54.243.172.207,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:32,,,,,13,64,263,,,,,,,,,,,,,,
https://e.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,e.crashlytics.com/54.221.196.94,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:32,,,,,6,65,261,,,,,,,,,,,,,,
https://p21-buy.itunes.apple.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,p21-buy.itunes.apple.com/17.154.66.74,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:32,,,,,4,8,56,,,,,,,,,,,,,,
https://api.kiip.me,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,api.kiip.me/54.82.121.208,443,,02 Jun 2018 19:28:33,,,02 Jun 2018 19:29:06,33707,4,63,,,,,0.21386719,,,,164,1759,,0,5463,,
https://ads.tapdaq.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,ads.tapdaq.com/104.20.1.59,443,,02 Jun 2018 19:28:33,,,02 Jun 2018 19:29:06,33684,6,6,,,,,0.21777344,,,,170,2066,,0,5308,,
https://z.moatads.com/KIIP/ios/d590ee2/status.json?ts=549685713018&v=3.4.1,COMPLETE,200,https,GET,application/octet-stream,198.18.72.253/198.18.72.253,0,z.moatads.com/23.217.105.62,443,,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,207,9,39,118,2,12,27,3.0615234,118.65234,33.04004,,243,,,394,12,,
https://e.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,e.crashlytics.com/54.221.196.94,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:33,,,,,2,89,261,,,,,,,,,,,,,,
https://firebasedynamiclinks-ipv4.googleapis.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,firebasedynamiclinks-ipv4.googleapis.com/172.217.0.42,443,,02 Jun 2018 19:28:33,,,02 Jun 2018 19:31:02,149408,5,6,,,,,0.03125,,,,222,1176,,0,3456,,
https://firebasedynamiclinks-ipv6.googleapis.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,,443,com.xk72.proxy.ProxyException: Name lookup failed: firebasedynamiclinks-ipv6.googleapis.com,02 Jun 2018 19:28:33,,,,,,,,,,,,,,,,,,,,,
https://graph.facebook.com/v2.6/185968838439659/activities?advertiser_id=E00218B0-F0BB-45CC-924B-8797938F9F06&advertiser_tracking_enabled=1&anon_id=XZ55607385-68FB-4A10-B64E-82AABFA10893&application_tracking_enabled=1&event=DEFERRED_APP_LINK&extinfo=%5B%22i2%22%2C%22swc%22%2C%22531%22%2C%227.1%22%2C%2211.2.5%22%2C%22iPhone10%2C6%22%2C%22en_US%22%2C%22PDT%22%2C%22AT%26T%22%2C375%2C812%2C%223.00%22%2C6%2C60%2C14%2C%22America%5C%2FLos_Angeles%22%5D&format=json&include_headers=false&sdk=ios&url_schemes=%5B%22swc%22%2C%22fb185968838439659%22%5D,COMPLETE,200,https,POST,application/json; charset=UTF-8,198.18.72.253/198.18.72.253,0,graph.facebook.com/157.240.11.17,443,,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,499,6,16,93,6,18,360,5.296875,341.4707,33.04004,,797,1301,,593,16,,
https://api.amplitude.com/,COMPLETE,200,https,POST,,198.18.72.253/198.18.72.253,0,api.amplitude.com/54.148.136.199,443,,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,342,8,51,156,4,9,114,12.597656,1014.8926,27.668945,,267,3890,,248,7,,
https://play.googleapis.com/log,COMPLETE,200,https,POST,text/plain; charset=UTF-8,198.18.72.253/198.18.72.253,0,play.googleapis.com/216.58.195.74,443,,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,180,7,7,80,4,15,67,5.3378906,125.97656,30.46875,,295,221,,306,162,-7.3%,-90.6%
https://z.moatads.com/VNG/ios/70d8699/status.json?ts=549685713020&v=3.1.3,COMPLETE,200,https,GET,application/octet-stream,198.18.72.253/198.18.72.253,0,z.moatads.com/23.217.105.62,443,,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,02 Jun 2018 19:28:33,226,2,28,159,2,9,26,2.7998047,118.16406,44.05371,,242,,,394,12,,
https://api.branch.io,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,api.branch.io/54.192.140.67,443,,02 Jun 2018 19:28:34,,,02 Jun 2018 19:28:36,2230,4,8,,,,,3.0039062,,,,168,1588,,0,5105,,
https://play.googleapis.com/log,COMPLETE,200,https,POST,text/plain; charset=UTF-8,198.18.72.253/198.18.72.253,0,play.googleapis.com/216.58.195.74,443,,02 Jun 2018 19:28:35,02 Jun 2018 19:28:35,02 Jun 2018 19:28:35,02 Jun 2018 19:28:35,230,3,8,85,19,54,61,5.0390625,27.137695,11.916992,,295,233,,306,353,-7.4%,-315.3%
https://e.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,e.crashlytics.com/54.221.196.94,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:35,,,,,17,80,279,,,,,,,,,,,,,,
https://ads.api.vungle.com/config,COMPLETE,200,https,POST,application/json,198.18.72.253/198.18.72.253,0,ads.api.vungle.com/23.213.102.211,443,,02 Jun 2018 19:28:35,02 Jun 2018 19:28:35,02 Jun 2018 19:28:35,02 Jun 2018 19:28:35,263,9,7,72,7,14,154,7.036133,151.78516,56.291016,,282,806,,240,567,,55.3%
https://settings.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,settings.crashlytics.com/54.243.172.207,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:35,,,,,3,63,241,,,,,,,,,,,,,,
https://e.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,e.crashlytics.com/54.221.196.94,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 19:28:36,,,,,4,66,255,,,,,,,,,,,,,,
https://api.vungle.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,api.vungle.com/23.213.102.211,443,,02 Jun 2018 19:28:36,,,02 Jun 2018 19:29:10,33716,8,7,,,,,0.21289062,,,,148,1544,,0,5674,,
https://rt.applovin.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,rt.applovin.com/104.68.116.141,443,,02 Jun 2018 19:28:36,,,02 Jun 2018 19:29:09,32613,5,6,,,,,0.16699219,,,,172,1206,,0,4201,,
https://d.applovin.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,d.applovin.com/104.68.116.141,443,,02 Jun 2018 19:28:36,,,02 Jun 2018 19:29:08,31512,4,8,,,,,0.19335938,,,,170,1463,,0,4620,,
https://play.googleapis.com/log,COMPLETE,200,https,POST,text/plain; charset=UTF-8,198.18.72.253/198.18.72.253,0,play.googleapis.com/216.58.195.74,443,,02 Jun 2018 19:28:36,02 Jun 2018 19:28:36,02 Jun 2018 19:28:37,02 Jun 2018 19:28:37,235,2,5,98,4,56,70,4.8828125,128.90625,11.282227,,295,233,,306,341,-7.4%,-301.2%
"https://a.applovin.com/3.0/ad?dnt=false&sc=&dy=812&webkit_linked=1&platform=ios&accept=video&carrier=AT%26T&locale=en_US&sdk_version=4.6.1&preloading=true&network=wifi&sim=0&volume=37&si=0&brand=Apple&plugin_version=tapdaq_6.0.1&model=iPhone&idfa=E00218B0-F0BB-45CC-924B-8797938F9F06&format=json&revision=iPhone10,6&li=0&orientation_lock=portrait&os=11.2.5&country_code=US&api_did=103feb18ef69416b36&tz_offset=-7&zone_id=inter_regular_direct&ia=1527992882855.173&build=74&vz=d4895b2f47b5a45f&sdk_key=e3ydsql7Lhoo2dvRqDmyWf_CVxRUQuR4yOhoCQwX7iKAKEb8RM5y149W0b_RTRVPqCC1c6Zlpuw77VGTtLVuQe&app_version=531&dx=375",COMPLETE,200,https,GET,application/json,198.18.72.253/198.18.72.253,0,a.applovin.com/104.68.116.141,443,,02 Jun 2018 19:28:37,02 Jun 2018 19:28:37,02 Jun 2018 19:28:37,02 Jun 2018 19:28:37,114,5,7,71,1,13,17,14.785156,759.7656,71.21387,,778,,,195,753,,70.8%
