URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://ads.mopub.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,ads.mopub.com/192.48.236.11,443,,02 Jun 2018 16:28:40,,,02 Jun 2018 16:34:37,356918,18,69,,,,,0.15332031,,,,236,18140,,0,37970,,
https://buy.itunes.apple.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,buy.itunes.apple.com/17.154.66.74,443,,02 Jun 2018 16:28:40,,,02 Jun 2018 16:29:26,45086,17,8,,,,,0.3876953,,,,185,13969,,0,3776,,
https://p21-buy.itunes.apple.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,p21-buy.itunes.apple.com/17.154.66.74,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 16:28:40,,,,,4,6,41,,,,,,,,,,,,,,
https://settings.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,settings.crashlytics.com/54.225.156.155,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 16:28:43,,,,,5,64,236,,,,,,,,,,,,,,
https://a.appbaqend.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,a.appbaqend.com/104.17.72.8,443,,02 Jun 2018 16:28:43,,,02 Jun 2018 16:34:37,354510,13,10,,,,,0.38183594,,,,257,82339,,0,56098,,
https://data.flurry.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,data.flurry.com/98.136.144.143,443,,02 Jun 2018 16:28:43,,,02 Jun 2018 16:29:12,29025,12,31,,,,,0.37402344,,,,175,3148,,0,7809,,
https://device-provisioning.googleapis.com/checkin,COMPLETE,200,https,POST,application/json; charset=UTF-8,198.18.72.253/198.18.72.253,0,device-provisioning.googleapis.com/172.217.5.74,443,,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,365,7,15,109,14,13,207,4.125,38.783203,74.06836,,276,280,,392,594,,26.3%
https://play.googleapis.com/log,COMPLETE,200,https,POST,text/plain; charset=UTF-8,198.18.72.253/198.18.72.253,0,play.googleapis.com/172.217.5.74,443,,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,252,7,13,109,8,30,85,4.375,70.80078,17.871094,,298,282,,306,243,-1.8%,-185.9%
https://iadsdk.apple.com/adserver/2.4/attribution,COMPLETE,200,https,POST,application/octet-stream,198.18.72.253/198.18.72.253,0,iadsdk.apple.com/104.68.114.74,443,,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,370,4,7,93,175,8,83,5.354492,9.876953,31.61621,,431,1339,,211,48,,
https://app-measurement.com/config/app/1:267504614746:ios:94d268c5919ccb42?platform=ios&app_instance_id=1291045BD4214627AE9093BF4FAA9082&gmp_version=50001,COMPLETE,200,https,GET,application/x-protobuf,198.18.72.253/198.18.72.253,0,app-measurement.com/216.58.194.174,443,,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,02 Jun 2018 16:28:44,586,6,6,538,1,7,28,1.765625,318.35938,102.399414,,326,,,473,261,,18.9%
